name,epsilon,k,R,B,threshold,ntrue,ssod,tavg,smax,cntrue,csod,cavg,cmax,mntrue,msod,mavg,mmax,kmc,ssize,scsize,csize,ccsize,mphfsize,bsize,bcsize
Sakai,0.01,8,7,1020,54984,3.0,42059,21.56,122,100.0,280460220,4284.98,6129,95.9,9120743,145.27,319,329392,1269989,332024,12495,15680,26148,107963,120820
Sakai,0.001,8,8,1227,5498,0.4,4921,21.03,76,100.0,224442112,3429.11,4933,94.8,8245376,132.82,340,329392,1494816,407783,17178,21136,26148,107963,120820
Sakai,0.01,11,4,1042202,54984,1.8,49953,1.15,7,26.0,1385206,2.24,15,13.5,414633,1.29,8,12054426,5748471,3407983,3647707,2958779,912612,2999184,2011350
Sakai,0.001,11,6,1111682,5498,0.2,5332,1.05,3,11.0,477763,1.85,13,5.2,139543,1.12,6,12054426,10023477,5442645,5836330,4628790,912612,2999184,2011350
Sakai,0.01,15,5,212522,54984,0.9,46619,1.01,2,4.0,237729,1.10,7,4.0,212705,1.01,4,37956030,1197342,555054,796958,562604,2060340,5986612,2178630
Sakai,0.001,15,8,189752,5498,0.1,5405,1.00,1,1.0,60364,1.05,4,1.1,56041,1.00,2,37956030,1710273,822969,1138512,841135,2060340,5986612,2178630
Sakai,0.01,21,5,120006,54984,0.9,52852,1.05,4,7.0,456949,1.18,7,7.2,401613,1.06,4,47651876,676815,357276,450022,352553,2027428,6003262,2091002
Sakai,0.001,21,9,95243,5498,0.1,5142,1.01,2,3.0,169327,1.07,5,2.9,156851,1.01,2,47651876,966658,564524,642890,548729,2027428,6003262,2091002
USakai,0.01,8,7,276,262090,3.5,229646,101.03,623,100.0,5554664542,84769.10,100227,98.9,67622063,1043.36,2186,329767,1585679,459694,4347,5242,26188,124478,141689
USakai,0.001,8,10,236,26209,0.5,28302,88.72,325,100.0,6478018067,98860.29,116580,98.9,67529773,1041.61,1873,329767,2207412,617189,5310,6377,26188,124478,141689
USakai,0.01,11,5,458224,256592,2.6,199141,2.46,23,99.0,74359823,24.60,121,63.5,12440482,6.40,40,15426856,14881405,7986017,2863900,3052026,1170444,4611976,3681695
USakai,0.001,11,6,610965,25659,0.3,18949,2.12,14,94.0,41775459,14.58,81,48.8,7188321,4.82,30,15426856,15882179,10721678,4124014,4659592,1170444,4611976,3681695
USakai,0.01,15,4,4786091,249261,1.9,244581,1.31,5,33.0,8009616,2.53,16,13.3,1722454,1.33,8,69462057,28747117,15437222,19144364,13859074,3722652,13458543,8338683
USakai,0.001,15,6,5105164,24926,0.2,23817,1.19,4,15.0,3154945,2.10,11,5.6,632298,1.17,4,69462057,49809998,24112227,30630984,21757886,3722652,13458543,8338683
USakai,0.01,21,5,3992620,238264,1.6,200369,1.21,4,34.0,7913722,2.35,13,14.2,1755913,1.24,5,85324492,29972096,16114051,19963100,14842055,3908340,13918529,8399573
USakai,0.001,21,7,4562994,23826,0.2,19817,1.12,3,15.0,2877929,1.96,11,5.6,624588,1.11,4,85324492,47940331,24754816,31940958,22881523,3908340,13918529,8399573
melanogaster,0.01,15,5,17850639,1425388,1.4,1394523,1.00,4,7.0,8349963,1.25,18,5.6,5743095,1.02,12,708291185,167531307,57375321,156193091,54822124,38684828,215429919,57619720
melanogaster,0.001,15,6,24792555,142539,0.1,131943,1.00,2,1.0,1203601,1.18,10,0.9,868336,1.00,5,708291185,279064227,81377350,260321828,78763625,38684828,215429919,57619720
melanogaster,0.01,21,4,4694088,1425242,1.1,1412822,1.03,13,12.0,22619509,1.61,55,11.2,17808121,1.31,50,980430596,35472937,16213703,30511572,13517684,46610076,244695060,52210186
melanogaster,0.001,21,8,3352920,142524,0.1,126534,1.00,4,6.0,9227778,1.23,19,5.9,7704719,1.06,14,980430596,54239606,27654428,43587960,22122626,46610076,244695060,52210186
melanogaster,0.01,27,5,3717540,1425095,0.9,1107965,1.01,7,12.0,22804542,1.48,34,12.1,17812877,1.20,28,1237398500,37511313,17655783,30205012,14416449,47251044,248115292,52551440
melanogaster,0.001,27,8,3319232,142510,0.1,128954,1.00,3,6.0,8675696,1.21,19,5.6,7313325,1.06,15,1237398500,53608394,26732053,43150016,21514665,47251044,248115292,52551440
melanogaster,0.01,32,5,3814440,1424973,0.9,1114171,1.01,8,12.0,20976188,1.44,30,11.3,16540446,1.17,28,1372027847,38439290,17762472,28608300,14496535,48965836,235774554,53752422
melanogaster,0.001,32,8,3405750,142497,0.1,129949,1.00,3,5.0,7829414,1.19,17,5.1,6658521,1.05,11,1372027847,54923705,26591472,40869000,21637820,48965836,235774554,53752422
raimondii,0.01,15,4,83575168,7271326,2.1,5649749,1.08,11,27.0,150044522,2.25,65,16.8,58126013,1.38,61,1757484239,754498883,333501515,668601344,270005310,95924548,597688382,211278423
raimondii,0.001,15,6,89146846,727133,0.3,670866,1.02,5,11.0,49864401,1.77,24,6.8,19357540,1.14,17,1757484239,1273047813,517924444,1069762152,421771128,95924548,597688382,211278423
raimondii,0.01,21,4,84742080,7269142,1.0,5730540,1.01,9,6.0,40927267,1.30,36,5.2,30522169,1.07,28,4374225956,678311312,208064027,635565600,193992575,215725316,1239705701,290033507
