Name,epsilon,k,threshold,dsum,avg,max,size,csize
Sakai,0.01,8,54984,42059,5.01,122,1269989,332024
Sakai,0.01,11,54984,49953,0.72,7,5748471,3407983
Sakai,0.01,15,54984,46619,1.00,2,1197342,555054
Sakai,0.01,21,54984,52852,1.05,4,676815,357276
Sakai,0.001,8,5498,4921,4.20,76,1494816,407783
Sakai,0.001,11,5498,5332,0.64,3,10023477,5442645
Sakai,0.001,15,5498,5405,0.99,1,1710273,822969
Sakai,0.001,21,5498,5142,1.00,2,966658,564524
melanogaster,0.01,15,1425388,1394523,0.94,4,167531307,57375321
melanogaster,0.01,21,1425242,1412822,1.01,13,35472937,16213703
melanogaster,0.01,27,1425095,1107965,0.99,7,37511313,17655783
melanogaster,0.01,32,1424973,1114171,0.99,8,38439290,17762472
melanogaster,0.001,15,142539,131943,0.94,2,279064227,81377350
melanogaster,0.001,21,142524,126534,0.98,4,54239606,27654428
melanogaster,0.001,27,142510,128954,0.98,3,53608394,26732053
melanogaster,0.001,32,142497,129949,0.98,3,54923705,26591472
raimondii,0.01,15,7271326,5649749,0.78,11,754498883,333501515
raimondii,0.01,21,7269142,5730540,0.97,9,678311312,208064027
raimondii,0.01,27,7266959,6489021,0.98,7,535743930,162193476
raimondii,0.01,32,7265139,6869101,0.98,7,478589824,135908884
raimondii,0.001,15,727133,670866,0.73,5,1273047813,517924444
raimondii,0.001,21,726914,606511,0.95,3,1029631979,329607370
raimondii,0.001,27,726696,693563,0.97,3,816390852,254642397
raimondii,0.001,32,726514,640598,0.98,2,683767497,228255275
GRCh38,0.01,15,29348603,27825655,0.89,33,1701562234,932009887
GRCh38,0.01,21,29348536,26002634,0.99,12,1276211029,358317191
GRCh38,0.01,27,29348468,28225960,1.00,12,965780676,278884588
GRCh38,0.01,32,29348413,29244036,1.00,8,837541151,249691318
GRCh38,0.001,15,2934860,2446861,0.54,9,2512456873,1585868444
GRCh38,0.001,21,2934854,2767754,0.98,3,1823478762,573697992
GRCh38,0.001,27,2934847,2590308,0.99,2,1457009459,475222653
GRCh38,0.001,32,2934841,2691283,0.99,2,1267399759,425309361
USakai,0.01,8,262090,229646,20.06,623,1585679,459694
USakai,0.01,11,256592,199141,0.72,23,14881405,7986017
USakai,0.01,15,249261,244581,0.70,5,28747117,15437222
USakai,0.01,21,238264,200369,0.67,4,29972096,16114051
USakai,0.001,8,26209,28302,14.64,325,2207412,617189
USakai,0.001,11,25659,18949,0.55,14,15882179,10721678
USakai,0.001,15,24926,23817,0.59,4,49809998,24112227
USakai,0.001,21,23826,19817,0.58,3,47940331,24754816
SRR622461,0.01,15,78992807,49297346,0.73,55,1996686305,1511550826
SRR622461,0.01,21,73467945,70917777,0.89,13,16106359495,3656009214
SRR622461,0.01,27,67975320,49239429,0.86,6,16042625755,3883397150
SRR622461,0.01,32,63402975,49490384,0.87,5,14613805239,3593094452
SRR622461,0.001,15,7899281,7384470,0.50,28,2651227779,2075579507
